0  OUTPUT: $18. | ANSWER: 18 | EVALUATION: True
1  OUTPUT: 3 | ANSWER: 3 | EVALUATION: True
2  OUTPUT: 38000 | ANSWER: 70000 | EVALUATION: False
3  OUTPUT: 540 | ANSWER: 540 | EVALUATION: True
4  OUTPUT: 60 | ANSWER: 20 | EVALUATION: False
5  OUTPUT: 64 | ANSWER: 64 | EVALUATION: True
6  OUTPUT: 260. | ANSWER: 260 | EVALUATION: True
7  OUTPUT: 60 | ANSWER: 160 | EVALUATION: False
8  OUTPUT: 315 | ANSWER: 45 | EVALUATION: False
9  OUTPUT: 460 | ANSWER: 460 | EVALUATION: True
10  OUTPUT: 366 | ANSWER: 366 | EVALUATION: True
11  OUTPUT: 694 | ANSWER: 694 | EVALUATION: True
12  OUTPUT: 12 | ANSWER: 13 | EVALUATION: False
13  OUTPUT: 36. | ANSWER: 18 | EVALUATION: False
14  OUTPUT: 60 | ANSWER: 60 | EVALUATION: True
15  OUTPUT: 125, 96 | ANSWER: 125 | EVALUATION: False
16  OUTPUT: 155 | ANSWER: 230 | EVALUATION: False
17  OUTPUT: 57500 | ANSWER: 57500 | EVALUATION: True
18  OUTPUT: 7 | ANSWER: 7 | EVALUATION: True
19  OUTPUT: 6 | ANSWER: 6 | EVALUATION: True
20  OUTPUT: 23 | ANSWER: 15 | EVALUATION: False
21  OUTPUT: 17 | ANSWER: 14 | EVALUATION: False
22  OUTPUT: 7. | ANSWER: 7 | EVALUATION: True
23  OUTPUT: 8 | ANSWER: 8 | EVALUATION: True
24  OUTPUT: 26 | ANSWER: 26 | EVALUATION: True
25  OUTPUT: 2 | ANSWER: 2 | EVALUATION: True
26  OUTPUT: 243 | ANSWER: 243 | EVALUATION: True
27  OUTPUT: $16.00. | ANSWER: 16 | EVALUATION: False
28  OUTPUT: 25 | ANSWER: 25 | EVALUATION: True
29  OUTPUT: 104 | ANSWER: 104 | EVALUATION: True
30  OUTPUT: 109 | ANSWER: 109 | EVALUATION: True
