0 TYPE: Intermediate Algebra | LEVEL: 4 | OUTPUT: 2z. | ANSWER: -1 | FNAME: ./MATH/test/intermediate_algebra/1416.json
1 TYPE: Intermediate Algebra | LEVEL: 3 | OUTPUT: 12. | ANSWER: 6 | FNAME: ./MATH/test/intermediate_algebra/1437.json
2 TYPE: Intermediate Algebra | LEVEL: 5 | OUTPUT: 8. | ANSWER: 48 | FNAME: ./MATH/test/intermediate_algebra/1562.json
3 TYPE: Intermediate Algebra | LEVEL: 5 | OUTPUT: -2(ab + ac + ad + ae + bc + bd + be + cd + ce + de) | ANSWER: 1 | FNAME: ./MATH/test/intermediate_algebra/135.json
4 TYPE: Intermediate Algebra | LEVEL: 3 | OUTPUT: -1, | ANSWER: \frac{5}{2},-3 | FNAME: ./MATH/test/intermediate_algebra/1073.json
5 TYPE: Intermediate Algebra | LEVEL: 3 | OUTPUT: 4x+5 | ANSWER: 4x+5 | FNAME: ./MATH/test/intermediate_algebra/58.json
6 TYPE: Intermediate Algebra | LEVEL: 4 | OUTPUT: $(x | ANSWER: x^2 - 7x + 12 | FNAME: ./MATH/test/intermediate_algebra/766.json
7 TYPE: Intermediate Algebra | LEVEL: 2 | OUTPUT: -\frac{7}{4} | ANSWER: 23 | FNAME: ./MATH/test/intermediate_algebra/222.json
8 TYPE: Intermediate Algebra | LEVEL: 3 | OUTPUT: -1, 1 | ANSWER: -4,-2,-1,1,2,4 | FNAME: ./MATH/test/intermediate_algebra/105.json
9 TYPE: Intermediate Algebra | LEVEL: 4 | OUTPUT: 32. | ANSWER: 48 | FNAME: ./MATH/test/intermediate_algebra/2065.json
10 TYPE: Intermediate Algebra | LEVEL: 5 | OUTPUT: There is no numerical solution mentioned in the message. | ANSWER: 225 | FNAME: ./MATH/test/intermediate_algebra/385.json
11 TYPE: Intermediate Algebra | LEVEL: 2 | OUTPUT: 0 | ANSWER: 1 | FNAME: ./MATH/test/intermediate_algebra/1602.json
12 TYPE: Intermediate Algebra | LEVEL: 5 | OUTPUT: 13 | ANSWER: 10 | FNAME: ./MATH/test/intermediate_algebra/24256.json
13 TYPE: Intermediate Algebra | LEVEL: 2 | OUTPUT: 1/3 | ANSWER: \frac{4}{3} | FNAME: ./MATH/test/intermediate_algebra/897.json
14 TYPE: Intermediate Algebra | LEVEL: 4 | OUTPUT: 4. | ANSWER: 3 | FNAME: ./MATH/test/intermediate_algebra/38.json
