0  OUTPUT: $18. | ANSWER: 18 | EVALUATION: True
1  OUTPUT: 3. | ANSWER: 3 | EVALUATION: True
2  OUTPUT: $50,000. | ANSWER: 70000 | EVALUATION: False
3  OUTPUT: 180 | ANSWER: 540 | EVALUATION: False
4  OUTPUT: 20 | ANSWER: 20 | EVALUATION: True
5  OUTPUT: $80. | ANSWER: 64 | EVALUATION: False
6  OUTPUT: 260. | ANSWER: 260 | EVALUATION: True
7  OUTPUT: 100 | ANSWER: 160 | EVALUATION: False
8  OUTPUT: Let's | ANSWER: 45 | EVALUATION: False
9  OUTPUT: $460. | ANSWER: 460 | EVALUATION: True
10  OUTPUT: 366. | ANSWER: 366 | EVALUATION: True
11  OUTPUT: 68, 80, 55 | ANSWER: 694 | EVALUATION: False
12  OUTPUT: 12. | ANSWER: 13 | EVALUATION: False
13  OUTPUT: Let's | ANSWER: 18 | EVALUATION: False
14  OUTPUT: 60%. | ANSWER: 60 | EVALUATION: False
15  OUTPUT: $96. | ANSWER: 125 | EVALUATION: False
16  OUTPUT: Let's | ANSWER: 230 | EVALUATION: False
17  OUTPUT: $57,500. | ANSWER: 57500 | EVALUATION: False
18  OUTPUT: Claire | ANSWER: 7 | EVALUATION: False
19  OUTPUT: 6 | ANSWER: 6 | EVALUATION: True
20  OUTPUT: 0. | ANSWER: 15 | EVALUATION: False
21  OUTPUT: 14. | ANSWER: 14 | EVALUATION: True
22  OUTPUT: 7. | ANSWER: 7 | EVALUATION: True
23  OUTPUT: x | ANSWER: 8 | EVALUATION: False
24  OUTPUT: $26. | ANSWER: 26 | EVALUATION: True
25  OUTPUT: 2. | ANSWER: 2 | EVALUATION: True
26  OUTPUT: $243. | ANSWER: 243 | EVALUATION: True
27  OUTPUT: $16.00. | ANSWER: 16 | EVALUATION: False
28  OUTPUT: 25 | ANSWER: 25 | EVALUATION: True
29  OUTPUT: Let's | ANSWER: 104 | EVALUATION: False
30  OUTPUT: Allen's | ANSWER: 109 | EVALUATION: False
31  OUTPUT: (2.75x | ANSWER: 80 | EVALUATION: False
32  OUTPUT: John | ANSWER: 35 | EVALUATION: False
